;Depth Location;;;;;;;;;;;;
Distance on line [m];1,6;1,4;1,2;1;0,8;0,6;0,4;0,2;0;-0,2;-0,4;-0,6;-0,8
0;-406,058161;#VALUE!;#VALUE!;-384,4015709;-323,6066267;-301,2297112;-324,4511372;-327,8963532;-337,4021984;#VALUE!;-180,3933388;-109,9844857;16,57263943
2,19E-05;-383,2645806;-296,8624462;-296,8624462;-375,4595628;-314,9876531;-280,2702865;-318,7857733;-330,0317793;-355,0406018;-112,8343701;-183,2365969;-120,6729668;3,806554302
4,38E-05;-357,3215104;-292,1858623;-292,1858623;-362,6560659;-301,2437203;-257,3843611;-304,6133939;-330,8017766;-374,2098808;-145,5132184;-186,8500417;-138,8351199;-9,507558285
6,57E-05;-337,0748706;-284,2025011;-284,2025011;-336,168487;-282,8671436;-233,2592319;-283,6531675;-327,4220503;-388,7346225;-182,4340314;-192,2280571;-163,7636821;-21,9264873
8,76E-05;-318,1175721;-272,406948;-272,406948;-311,40585;-263,9348625;-196,3015495;-261,1119902;-321,9268883;-389,2745548;-225,2138656;-201,4737343;-187,5314216;-32,23078782
0,000109546;-301,0999921;-254,4709667;-254,4709667;-286,8293857;-245,2362046;-157,763333;-239,3460317;-314,3681552;-384,7805806;-248,0546296;-217,8414526;-209,1911975;-40,58541735
0,000131455;-285,0534908;-233,9673366;-233,9673366;-263,322354;-227,4250075;-117,5963067;-205,2182252;-298,4360128;-375,1366165;-262,125321;-232,7681882;-230,3522062;-43,30129766
0,000153364;-265,5024571;-208,8360267;-208,8360267;-241,139794;-209,8569667;-81,30345569;-166,5382059;-279,9811616;-365,2698848;-266,2597545;-249,1177218;-251,0708595;-41,21813946
0,000175273;-237,1190128;-182,3947089;-182,3947089;-221,057375;-193,5393548;-48,53945316;-121,0019562;-258,86736;-355,3382272;-274,2855864;-272,4265289;-271,3406779;-36,8151829
0,000197182;-210,3991855;-154,3346099;-154,3346099;-201,8295608;-176,5174475;-27,16135241;-73,639697;-238,868683;-346,0049213;-285,5590579;-299,1177186;-291,2055342;-39,59514661
0,000219091;-181,0240115;-135,3649436;-135,3649436;-182,4476752;-162,5613607;-8,544543516;-23,58935583;-222,5157985;-335,5775486;-300,6686927;-328,8472408;-310,800279;-51,06070323
0,000241;-154,9614953;-118,0293506;-118,0293506;-161,7860833;-149,6521849;9,319995476;18,1066027;-214,7309338;-324,3749447;-309,4617732;-348,0191191;-331,2140211;-68,92925432
0,000262909;-131,8830214;-102,397829;-102,397829;-139,2317673;-139,0762203;39,96614606;59,04155477;-205,2559843;-312,6967139;-314,5221201;-361,6666921;-351,695048;-93,69859806
0,000284818;-117,3413757;-79,19366506;-79,19366506;-117,7931111;-129,6862435;74,70977303;98,28577839;-192,5187689;-293,1946192;-303,0077684;-365,7033358;-372,8593684;-117,0518156
0,000306728;-103,3466744;-52,03439069;-52,03439069;-96,72578185;-121,0912453;113,244854;137,7194752;-170,8896812;-268,7804161;-297,8251843;-358,8160696;-390,9286183;-140,0082649
0,000328637;-86,67419008;-22,22912501;-22,22912501;-77,44813472;-112,3291388;144,22167;177,1280522;-149,5146351;-236,1116836;-298,837074;-351,0096268;-406,8717475;-156,3330512
