;Location;;;;;;;;;;;;;;;;
Distance on line [m];1,6;1,4;1,2;1;0,8;0,6;0,4;0,2;0;-0,2;-0,4;-0,6;-0,8;;;;
0;90,27;-48,05475919;8,667732998;-137,7231886;-153,2856208;-118,22;103,0001432;-31,68;-36,46819261;-97,02;-162,1061143;-61,62126355;-39,49564308;;;;
4,34E-05;85,29;-32,50733317;13,76358242;-132,0553485;-155,1998363;-137,45;92,17242864;-27,13;-33,12974604;-101,86;-179,3362914;-83,04957748;-36,3816735;; ;;
6,51E-05;79,25;-16,10862013;19,03734919;-129,1642317;-155,9520509;-153,04;83,0601851;-21,34;-24,59544515;-111,46;-196,5100916;-107,738667;-35,09421689;;;;
8,68E-05;68,48;-0,038819802;24,30248838;-125,1181807;-156,5762677;-160,69;74,53262928;-13,26;-16,37099452;-123,20;-215,3735621;-135,9332474;-38,96942319;;;;
0,000108448;54,66;9,888250536;27,41146881;-119,7183845;-153,5076587;-167,60;66,30774755;-4,45;-7,174518308;-136,99;-229,1943208;-167,0406737;-43,72228946;;;;
0,000130138;38,43;16,19164227;29,20759276;-116,5854605;-150,5456314;-169,54;60,94734306;2,51;-7,400319338;-149,36;-241,5449495;-198,4862818;-48,67443269;;;;
0,000151828;23,59;20,05234404;25,29684783;-117,124792;-146,2745441;-174,30;53,60872681;-3,33;-14,46251464;-160,60;-251,0408917;-222,7523576;-53,80469857;;; ;
0,000173517;8,72;12,98745578;17,920721;-123,9906669;-150,6650375;-178,05;40,78688282;-17,96;-37,10968074;-173,99;-259,4963343;-241,4194602;-62,29447622;;;;
0,000195207;-6,71;5,369516608;7,6871435;-143,0928701;-157,9584545;-187,46;19,92205091;-49,30;-61,72204206;-191,29;-265,363823;-249,2408528;-74,00392096;;;;
0,000216897;-21,35;-3,36425328;-4,347922256;-165,2943651;-172,8643209;-195,26;-9,641599384;-83,87;-89,64143044;-212,94;-262,8720456;-253,9510906;-85,38526618;;;;
0,000238586;-31,42;-12,08513992;-19,45779043;-187,7693618;-183,9978226;-202,61;-47,85430591;-121,91;-125,759223;-242,73;-255,9083947;-259,7306588;-93,9132963;;;;
0,000260276;-42,59;-24,09234246;-43,06657183;-205,9929457;-194,0301127;-201,98;-88,37759303;-155,92;-163,4593061;-269,89;-244,5766152;-264,3047459;-97,29516229;;;;
0,000281966;-56,28;-42,87145022;-69,4065159;-222,4041578;-196,5957028;-201,79;-132,9756191;-189,46;-200,8665217;-288,57;-238,5355205;-267,0172015;-101,1626138;;;;
0,000303656;-73,64;-67,37051477;-111,5051898;-239,8063251;-201,3020638;-202,94;-169,083218;-210,37;-227,1366554;-297,22;-237,2525361;-269,8173489;-105,7784535;;;;
0,000325345;-93,92;-95,49936474;-152,6261622;-257,3945329;-207,8133668;-202,25;-198,1773176;-227,96;-248,2193189;-302,08;-236,4502087;-272,434943;-113,3596199;;;;
0,000347035;-113,65;-127,8256176;-195,6519042;-275,2576282;-209,8199784;-199,34;-208,5171734;-236,73;-259,8568389;-301,50;-234,6447219;-272,0608659;-127,2723839;;;;
0,000368725;-134,10;-162,5132035;-237,3441786;-284,9056175;-209,2287488;-198,71;-213,5729861;-244,30;-269,9743488;-299,38;-231,9868518;-272,3901531;-145,4438365;;;;
0,000390414;-155,91;-200,835668;-277,718348;-290,6059767;-205,7384704;-195,37;-208,9089638;-253,05;-276,6837609;-295,56;-227,547538;-275,3136167;-171,8023698;;;;
0,000412104;-178,46;-232,9397482;-311,8932761;-285,1670549;-203,451332;-190,77;-194,8915373;-251,20;-276,5130166;-288,24;-224,5664447;-282,6293524;-196,8227008;;;;
0,000433794;-199,87;-262,0088077;-341,8314018;-274,9236146;-203,0256633;-181,10;-179,1244096;-247,54;-273,3546009;-279,84;-222,8184253;-288,3416048;-221,2370545;;;;
0,000455483;-215,90;-288,6610523;-365,3431962;-262,0005077;-193,7710566;-167,40;-159,4895493;-244,09;-269,4001766;-268,67;-219,7967851;-289,9605004;-236,5729747;;;;
0,000477173;-228,93;-311,769745;-376,9646431;-247,2731452;-179,7010255;-147,07;-139,9509992;-244,97;-266,4242708;-257,42;-213,5336316;-288,0769547;-248,7607666;;;;
0,000498863;-238,80;-328,9372691;-382,1426201;-230,9451839;-157,7193972;-125,26;-119,0464534;-245,50;-264,2840936;-246,04;-212,2947803;-286,6713856;-255,0401573;;;;
0,000520552;-233,83;-337,246424;-372,673317;-210,3308082;-132,5236293;-102,12;-97,35862985;-240,60;-259,6402879;-234,36;-210,780648;-274,7995964;-260,924269;;;;
0,000542242;-222,51;-342,1957994;-352,7941165;-186,3907606;-105,7381995;-79,47;-73,42136241;-237,78;-254,0192434;-220,42;-210,7884117;-257,4876981;-265,0853161;;;;
0,000563932;-199,16;-346,336302;-322,9667635;-159,9776914;-80,88644029;-59,58;-52,5652573;-231,89;-241,4531858;-204,83;-211,9396593;-231,9517879;-261,4577318;;;;
0,000585621;-178,43;-347,2002344;-289,0293616;-122,7424074;-52,83626038;-45,34;-40,24562336;-223,22;-224,740714;-183,67;-213,1082189;-197,6818562;-259,7550359;;;;
0,000607311;-160,01;-347,4617832;-254,9984946;-80,67942778;-22,58025482;-32,34;-37,31874417;-207,85;-204,7341009;-159,94;-208,9487005;-161,1638364;-260,1279188;;;;
0,000629001;-152,34;-325,9554756;-223,0161805;-35,45042506;7,044637252;-19,31;-37,78259567;-186,36;-176,1738226;-135,01;-204,493426;-150,885357;-271,5357514;;;;
0,00065069;-149,94;-297,4180841;-194,9920303;-0,176124686;35,3500347;-8,18;-37,89974313;-160,76;-150,0594194;-117,02;-199,7092781;-150,2420498;-280,3468813;;;;
0,00067238;-151,26;-258,1178596;-170,4889069;29,28116371;58,90774745;1,96;-36,58176551;-141,66;-127,5941869;-103,66;-196,603579;-165,5497899;-286,7571312;;;;
0,00069407;-152,75;-217,5568442;-145,526892;50,07079194;77,95828448;12,38;-35,38258238;-133,17;-126,5610048;-97,44;-192,9843962;-175,4373592;-284,3729173;;;;
0,000715759;-150,99;-175,9461712;-119,989903;68,00766976;95,88882585;31,10;-31,80379716;-140,96;-132,6109115;-90,41;-188,4414569;-179,4072125;-279,4471768;;;;
0,000737449;-149,87;-141,0084369;-94,81688817;86,36074458;105,3913507;54,05;-29,41804315;-152,33;-143,761439;-81,80;-179,6081415;-169,5889355;-270,026003;;;;
0,000759139;-145,05;-112,7836507;-85,05291567;102,9751024;112,6728594;83,69;-26,17636428;-160,69;-143,4004418;-69,43;-168,2359571;-153,2919219;-255,5196733;;;;
0,000780828;-138,33;-95,90940775;-81,71126082;115,4181883;116,6033824;103,67;-26,26327321;-149,01;-134,3107527;-56,02;-152,6570488;-138,8464683;-239,8943659;;;;
0,000802518;-130,28;-87,98213006;-77,09973543;121,8936402;126,9658512;109,80;-31,03438766;-135,33;-120,5417908;-42,39;-135,4000387;-126,0024687;-228,9134653;;;;
0,000824208;-122,45;-83,01144686;-62,14164354;114,701069;138,8990598;97,96;-38,46785506;-119,19;-107,5379686;-32,31;-116,6247619;-114,703622;-216,975314;;;;
