;O2 concentration (micromol/L);
Distance (microm);Profile 1;Profile 2
1600;185,3337115;201,5567385
1599;179,0822563;205,5431941
1598;178,9066371;208,0850408
1597;172,7313061;208,0547026
1596;172,0863437;212,5370713
1595;163,1214827;210,3973209
1594;155,2186826;205,5635689
1593;156,2555759;210,5161182
1592;157,1147857;217,6907028
1591;155,8274854;212,9520696
1590;155,3885207;206,0031166
1589;158,350639;204,121497
1588;157,9199318;203,3769975
1587;160,2891378;199,1581329
1586;157,5362032;191,1113752
1585;164,434871;186,7108455
1584;174,1211405;187,7638436
1583;174,2405814;187,1816305
1582;172,3989827;182,3045389
1581;170,7070708;175,8286868
1580;168,8733812;170,4312537
1579;171,1357445;169,3176407
1578;172,3073516;169,8963253
1577;173,2640045;169,9713837
1576;175,6416018;171,3107911
1575;175,2437226;175,746741
1574;174,6175163;173,2162332
1573;171,5409557;174,1974429
1572;171,5338591;176,8584707
1571;169,7774825;178,0767228
1570;168,9969204;183,0992579
1569;169,6036624;184,0780389
1568;172,2510128;183,2510233
1567;170,215078;187,7185964
1566;166,9749281;191,3244207
1565;168,6162122;190,9023172
1564;167,7726231;190,7798685
1563;166,4090451;189,7363433
1562;166,5746648;187,8216472
1561;160,9031382;193,7217562
1560;155,348353;198,0598376
1559;154,7424403;202,2137463
1558;153,0684602;205,3322749
1557;160,1670098;202,9025524
1556;165,603991;203,1233684
1555;163,1552145;204,0602801
1554;160,3505691;207,3840276
1553;161,475552;209,4318215
1552;162,1881541;209,5554826
1551;166,1884158;209,8074744
1550;171,1597348;207,6930775
1549;169,4331069;203,2757556
1548;163,4057085;199,1001289
1547;154,3193704;203,6538429
1546;146,772921;205,220625
1545;146,6915672;206,3852534
1544;147,7401044;206,9923701
1543;153,314862;206,7867652
1542;154,2664419;207,2821233
1541;157,6627094;208,6612285
1540;160,3933214;211,8641907
1539;160,0678343;212,8949843
1538;163,6942487;215,5419269
1537;173,0838707;209,5911277
1536;184,1983093;206,1050548
1535;186,1048698;205,9679315
1534;185,7547495;207,6643758
1533;179,3108525;206,6657878
1532;178,8141573;207,2629522
1531;178,4904824;205,2157013
1530;175,5337847;202,9852125
1529;177,1349957;203,3598823
1528;180,7204685;205,0216363
1527;174,4655518;208,1090015
1526;168,7905353;212,1587508
1525;171,7484291;212,0533892
1524;177,255426;209,6554839
1523;180,543546;208,8991159
1522;181,4589888;207,08074
1521;179,4167054;210,2800146
1520;180,7162352;212,3427515
1519;176,2203381;214,5934704
1518;171,8591069;213,3936401
1517;170,4221457;210,403585
1516;167,8974129;202,1022757
1515;168,9891825;202,4098045
1514;169,8817148;202,2100933
1513;172,9134918;206,1701172
1512;173,3572255;211,3821286
1511;176,2542663;211,5784143
1510;176,6464112;212,137029
1509;179,1137884;214,3021995
1508;180,1157368;218,2366076
1507;187,7846641;220,1648104
1506;192,8159547;224,9881151
1505;188,0582069;224,3048961
1504;183,244951;224,4237955
1503;182,2620857;227,8549671
1502;181,9371311;228,2497774
1501;180,5478811;224,9576821
1500;180,7588671;220,8919727
1499;178,3302151;224,3799705
1498;177,3231677;224,8752795
1497;166,6989061;224,9633979
1496;158,6133834;225,243737
1495;156,2003557;219,3047618
1494;152,6041592;216,4948455
1493;145,8130627;213,5845812
1492;141,9360624;210,937442
1491;140,2831576;212,1241106
1490;138,0870138;210,6434279
1489;140,4415385;200,4544602
1488;140,4654326;192,5390565
1487;147,5142496;190,0095685
1486;155,204238;187,5169288
1485;155,4912948;194,0092069
1484;156,2771879;199,5101466
1483;167,5368875;199,1360099
1482;177,5746108;201,1815782
1481;181,6891968;201,4877789
1480;183,794094;205,6169933
1479;181,8105705;210,3880542
1478;179,9691876;212,7440045
1477;179,1898191;212,2288032
1476;177,5634253;209,5825579
1475;182,9806527;211,8622529
1474;185,2329366;216,0921604
1473;181,8315965;214,6996825
1472;176,9012777;213,0019461
1471;172,2917293;212,0312331
1470;169,2358327;211,2425507
1469;176,1124846;209,4600383
1468;182,9549388;209,3051998
1467;187,4092546;209,4294924
1466;190,5180629;212,5310264
1465;189,6672338;209,8813559
1464;191,3451117;206,8485778
1463;193,8123643;211,2340304
1462;196,8596435;214,7190018
1461;200,6047664;217,638841
1460;202,8204949;220,6555924
1459;198,695059;217,6619052
1458;196,3268009;217,3353315
1457;194,0119772;218,5924673
1456;192,070675;219,7822348
1455;191,5838897;217,0135315
1454;195,1238933;209,4667395
1453;190,015108;204,240318
1452;188,1216581;199,5763814
1451;184,6467128;197,4039946
1450;180,8963404;193,1556579
1449;178,6716734;195,0167328
1448;178,532109;197,1118782
1447;173,9913792;196,3492016
1446;170,0907717;195,8648745
1445;170,5124219;197,36413
1444;168,2076981;200,1484111
1443;165,9858605;203,3689259
1442;160,4186152;205,5017831
1441;159,6125619;203,42891
1440;159,4088584;202,9317759
1439;163,3754155;203,0792337
1438;164,2440948;198,6493917
1437;170,3283666;200,997009
1436;174,3111885;203,2251566
1435;172,5978171;200,5958746
1434;169,1199219;199,4445565
1433;169,3615161;198,4636932
1432;170,1402856;198,562728
1431;174,882903;198,3583121
1430;178,8368517;197,2485235
1429;173,8525624;196,9465802
1428;170,8892537;199,5821605
1427;167,2181261;199,5287409
1426;165,6989803;199,2084443
1425;166,4774159;205,2145128
1424;167,9724322;210,7081606
1423;169,7890152;208,75192
1422;172,2734631;210,6729892
1421;171,445042;216,5637609
1420;170,8462384;220,6457592
1419;174,3747474;222,972144
1418;177,5169118;225,3259412
1417;178,3046659;227,1775771
1416;179,6642682;230,6706023
1415;179,6752641;228,3674541
1414;176,8290997;228,388875
1413;181,7880821;229,6676098
1412;186,3445452;225,8949762
1411;182,1452826;219,6102966
1410;180,7118333;215,6849101
1409;181,1780969;213,3472274
1408;179,1034172;210,0957054
1407;178,362479;209,4942728
1406;176,3760103;207,037494
1405;174,5963928;209,2274745
1404;175,9474944;206,6676642
1403;170,1195629;203,8593102
1402;166,0031675;203,7256839
1401;168,1718795;206,578424
1400;168,7619218;209,7610551
1399;170,5728848;213,6436825
1398;174,7902182;218,0165904
1397;175,9156286;218,3940541
1396;176,2427617;216,9139068
1395;176,4198848;213,5761487
1394;177,9818766;215,7773332
1393;174,8343771;219,1155117
1392;174,2829525;220,8636404
1391;180,0851256;222,1184523
1390;184,7197282;222,8963557
1389;182,6208773;221,9025152
1388;178,2260584;221,5170079
1387;176,4002007;223,0007844
1386;173,7458674;227,9165313
1385;176,5019685;232,5952697
1384;175,3095386;232,2116366
1383;177,6761125;231,1973995
1382;176,8579461;232,9160584
1381;169,4630646;230,8950943
1380;162,5126752;229,2709067
1379;158,7730705;228,7114253
1378;156,0384475;228,3212156
1377;153,9371486;225,3625313
1376;151,6744627;221,196196
1375;150,4785417;220,4337981
1374;150,724781;219,5706859
1373;153,2005962;219,8252019
1372;156,9755892;218,7732459
1371;163,6438986;222,0923558
1370;169,3579479;224,6711322
1369;174,2214085;223,918134
1368;179,8300394;222,8204915
1367;181,2737556;224,9061353
1366;183,9490658;225,3747373
1365;185,0744182;228,1780786
1364;187,0353606;233,3537959
1363;185,6108018;234,5208488
1362;181,0269278;234,8979343
1361;176,1072238;233,1108689
1360;171,8009868;231,0919145
1359;170,2667509;231,618301
1358;166,7428706;233,281014
1357;165,7532216;230,5139271
1356;160,7892988;228,6327775
1355;161,3674774;222,7431749
1354;163,1409774;215,9491138
1353;163,5912448;217,8764832
1352;162,5259066;219,6585248
1351;161,0331363;216,6805703
1350;159,9070956;214,4387026
1349;160,0630988;212,7670725
1348;163,5915784;211,1168424
1347;166,6908215;212,469308
1346;173,1491729;211,7908305
1345;174,7568838;213,7030256
1344;174,5533908;215,6376375
1343;174,0393293;215,0516056
1342;176,8805502;213,7442642
1341;177,5373644;220,516932
1340;181,3846279;227,613952
1339;181,7003186;230,2868186
1338;175,5752311;230,6785543
1337;177,7055398;228,5543128
1336;181,8714175;226,9908785
1335;173,047795;225,7994886
1334;164,2991245;225,4842778
1333;160,1077842;222,7637817
1332;156,1259665;222,1945481
1331;156,9329798;218,107578
1330;152,6033792;213,9817131
1329;153,3086867;209,0417763
1328;158,2924736;206,493089
1327;153,6267078;212,3358776
1326;149,8011822;218,6920513
1325;158,1078598;220,7089973
1324;168,0470598;221,7321132
1323;171,9521965;221,5776
1322;176,3399431;219,9367595
1321;176,2775137;222,6063881
1320;178,2542424;223,1624722
1319;174,6943424;226,2346021
1318;170,6040568;229,8154887
1317;170,1761041;226,9988292
1316;170,6938313;224,803163
1315;169,9589738;220,2758597
1314;166,3409772;217,2116305
1313;167,001022;217,2441125
1312;165,4224349;218,2048452
1311;167,9270858;218,434096
1310;172,8006786;218,238702
1309;173,205712;222,1008083
1308;175,1791973;224,0449248
1307;181,6259853;223,688722
1306;183,0340739;226,6626389
1305;183,9330654;231,274616
1304;184,4439367;233,2364629
1303;182,9093524;231,5528099
1302;183,4141661;228,84862
1301;183,6242443;224,6504145
1300;183,7975662;221,2664593
1299;184,3571148;216,074934
1298;186,8303562;210,4145884
1297;179,845972;204,5408231
1296;175,411787;197,8691001
1295;170,1646265;194,0618728
1294;167,6695609;192,6009302
1293;167,8030962;195,5716084
1292;166,1041299;198,1427295
1291;164,6402848;202,0594215
1290;163,3979491;206,7181984
1289;166,1595102;210,115232
1288;164,5824169;213,1687759
1287;167,9300256;220,2272884
1286;172,1532009;226,2747999
1285;176,530744;230,8622671
1284;180,996172;234,0925117
1283;186,0453625;236,4152127
1282;189,6327654;237,293282
1281;194,929096;236,7946845
1280;196,4085843;236,8365759
1279;195,2126791;240,1571819
1278;194,8136321;242,1141232
1277;193,1355639;242,1836425
1276;191,7369243;241,3076139
1275;191,3593974;242,047291
1274;191,5509896;241,9117147
1273;177,8974201;239,3612398
1272;165,139019;238,2721374
1271;161,818344;237,7672726
1270;157,1184388;238,6502387
1269;160,5585972;231,9954002
1268;161,5827851;230,083538
1267;162,9519644;229,7463198
1266;162,6667933;228,6186937
1265;161,0181511;224,0035087
1264;160,8743528;222,7957818
1263;174,7840437;219,1078698
1262;187,9248275;216,7096675
1261;185,7192442;213,6192804
1260;187,1223478;209,0422456
1259;185,750731;211,3518752
1258;187,4563818;210,8661988
1257;191,8318084;212,5219165
1256;197,365526;213,4961606
1255;195,5730081;215,2517921
1254;191,8380923;213,9248186
1253;192,4537738;219,6391626
1252;192,8595547;222,4272833
1251;201,2524102;227,836657
1250;209,657117;232,0088162
1249;212,4322452;234,4644427
1248;214,0226278;236,2551169
1247;210,3050347;234,0446671
1246;204,2969889;234,046527
1245;212,250709;237,7586094
1244;216,849003;243,3508205
1243;216,9477446;245,1246042
1242;220,3887661;247,5109933
1241;218,2401739;244,5880039
1240;214,45684;244,2432777
1239;215,7032353;242,9417042
1238;216,556804;240,5920616
1237;218,4309493;238,3105828
1236;219,2061691;231,5072554
1235;210,6961612;231,7259211
1234;207,3921874;229,4709343
1233;211,8136679;225,9136392
1232;210,9405358;224,7754994
1231;208,7655639;228,6379822
1230;207,2379291;230,0843474
1229;204,3074177;229,7462256
1228;201,438602;231,2999497
1227;198,6861702;235,0900984
1226;199,6103235;240,5088543
1225;202,6114811;237,2299008
1224;200,7127972;236,7333866
1223;188,764281;239,5367132
1222;183,2783205;239,4432539
1221;175,9895513;235,1698513
1220;170,6893556;233,0165734
1219;166,8357093;231,5345584
1218;164,5450441;230,0401818
1217;164,5813289;222,3174233
1216;163,4909658;217,971949
1215;164,254239;218,5738962
1214;164,7806613;216,9049511
1213;169,3984729;217,9113373
1212;172,8091277;217,9231674
1211;176,7115531;220,2349524
1210;179,9630369;221,0454058
1209;179,6858263;221,7436896
1208;179,963473;220,5989071
1207;178,1630931;228,3564145
1206;179,2326476;234,9992345
1205;182,1058388;236,4896859
1204;187,0807292;237,3182705
1203;187,6244778;233,6414033
1202;187,9060047;231,9405102
1201;187,2015474;230,3717185
1200;184,8070228;228,6130633
1199;184,4729429;230,8011713
1198;182,8792379;235,1541672
1197;182,5294419;231,9288546
1196;181,2129176;228,92488
1195;174,8571153;230,2959176
1194;168,6085441;234,6309771
1193;166,6704541;233,5544638
1192;164,7469164;233,9802975
1191;167,9736774;236,5887742
1190;171,1944824;240,2945577
1189;173,1827756;236,2726153
1188;174,0015897;230,8608346
1187;177,449668;229,411672
1186;177,7925832;227,9791836
1185;179,0201563;225,7516261
1184;182,2211222;223,0172814
1183;185,9706031;226,4367884
1182;186,7284201;230,4254956
1181;182,8415087;224,6958063
1180;179,544498;220,1959198
1179;180,6643983;221,5424739
1178;182,9433204;226,878955
1177;182,4517155;233,7653672
1176;181,7512343;239,8266943
1175;181,5334175;242,3310732
1174;180,2534734;243,7389709
1173;180,9019613;242,4463873
1172;185,4552104;238,6105924
1171;189,437643;242,9283642
1170;191,2931689;245,4073541
1169;189,4254239;249,599947
1168;187,6262678;252,048832
1167;186,1996072;249,2576889
1166;186,5286482;244,2344528
1165;194,0692748;240,1306455
1164;199,4677531;237,4862635
1163;199,4212754;238,7319715
1162;196,2281975;244,5953406
1161;195,6828769;245,7552989
1160;197,907779;246,3216567
1159;199,8185231;244,3089231
1158;201,0130985;244,4567866
1157;203,9907164;243,0403648
1156;205,2199122;244,9551835
1155;200,6840247;251,0533667
1154;196,7826526;256,9275235
1153;192,3351517;259,1143039
1152;189,9694133;255,3740841
1151;188,1155574;255,2077465
1150;184,5186516;256,7331647
1149;181,9419406;254,893799
1148;181,401313;250,454578
1147;178,5985139;250,0631753
1146;178,7489449;252,2629333
1145;179,4901651;250,3267986
1144;181,8294725;247,2216247
1143;181,7105092;244,702508
1142;181,2737553;245,3982994
1141;187,1475522;243,3449162
1140;191,6611657;240,1821401
1139;193,634602;242,1836076
1138;196,5347312;242,1441852
1137;200,070396;245,7572056
1136;201,1011874;245,5173211
1135;199,2981991;241,5397834
1134;195,4133653;236,7782417
1133;195,3864103;236,3370085
1132;195,6374005;235,4619395
1131;186,836532;235,024992
1130;184,4128967;235,9388191
1129;184,602978;237,0410105
1128;180,8874931;238,5372808
1127;178,0773348;237,6238996
1126;175,157705;236,0206091
1125;172,4575099;236,243229
1124;169,1690807;237,5606493
1123;170,7214894;235,4040153
1122;172,0165908;232,6841189
1121;176,0444642;231,0307842
1120;174,3061028;228,7726388
1119;175,0710162;228,9152768
1118;177,9303735;228,1690065
1117;179,3677134;226,1610908
1116;183,4998507;223,7802224
1115;190,3267855;225,7383332
1114;198,508336;228,5232552
1113;197,4186015;229,2004863
1112;193,3246293;228,6872653
1111;195,4015276;230,0155198
1110;200,6025748;232,7289899
1109;198,7942087;231,8058978
1108;196,755519;232,2353344
1107;199,2073111;232,1917217
1106;197,8200092;232,7750238
1105;196,4758049;228,2897108
1104;193,0785751;223,3109961
1103;191,8371951;224,7495156
1102;191,7004196;228,9586051
1101;184,7066731;231,4804044
1100;177,350388;233,3284145
1099;184,4662164;235,6307397
1098;190,2657192;237,4624318
1097;184,6000968;239,9247406
1096;179,8455456;241,4855492
1095;180,4299934;247,3731105
1094;181,5316905;252,0120626
1093;184,3000194;250,8920696
1092;187,2083493;248,6703485
1091;192,207573;248,168969
1090;195,8778418;246,0243781
1089;189,7320032;244,0348834
1088;185,4366855;242,5061825
1087;185,4244638;243,0997258
1086;185,6112118;245,1535898
1085;181,6589806;243,7925788
1084;180,0493842;241,9230192
1083;181,6399104;241,969751
1082;183,1046747;242,7797979
1081;180,5361789;246,7906591
1080;178,7859247;251,1431375
1079;182,1409977;250,4209944
1078;186,2805083;249,4707055
1077;191,8592196;247,7379252
1076;196,7933148;245,9598356
1075;196,4968199;244,5254279
1074;195,0604644;245,9688088
1073;192,0462666;249,1180256
1072;191,7106841;250,9075014
1071;197,1517787;245,9074579
1070;201,9819816;239,7420377
1069;200,8350276;243,0572995
1068;196,7726338;246,9882296
1067;194,2541456;246,6400999
1066;193,5104256;246,4917926
